id,nama,kota_id
320101,CIBINONG,3201
320102,GUNUNG PUTRI,3201
320103,CITEUREUP,3201
320104,SUKARAJA,3201
320105,BABAKAN MADANG,3201
320106,JONGGOL,3201
320107,CILEUNGSI,3201
320108,CARIU,3201
320109,SUKAMAKMUR,3201
320110,PARUNG,3201
320111,GUNUNG SINDUR,3201
320112,KEMANG,3201
320113,BOJONG GEDE,3201
320114,LEUWILIANG,3201
320115,CIAMPEA,3201
320116,CIBUNGBULANG,3201
320117,PAMIJAHAN,3201
320118,RUMPIN,3201
320119,JASINGA,3201
320120,PARUNG PANJANG,3201
320121,NANGGUNG,3201
320122,CIGUDEG,3201
320123,TENJO,3201
320124,CIAWI,3201
320125,CISARUA,3201
320126,MEGAMENDUNG,3201
320127,CARINGIN,3201
320128,CIJERUK,3201
320129,CIOMAS,3201
320130,DRAMAGA,3201
320131,TAMANSARI,3201
320132,KLAPANUNGGAL,3201
320133,CISEENG,3201
320134,RANCABUNGUR,3201
320135,SUKAJAYA,3201
320136,TANJUNGSARI,3201
320137,TAJURHALANG,3201
320138,CIGOMBONG,3201
320139,LEUWISADENG,3201
320140,TENJOLAYA,3201
320201,PALABUHANRATU,3202
320202,SIMPENAN,3202
320203,CIKAKAK,3202
320204,BANTARGADUNG,3202
320205,CISOLOK,3202
320206,CIKIDANG,3202
320207,LENGKONG,3202
320208,JAMPANG TENGAH,3202
320209,WARUNG KIARA,3202
320210,CIKEMBAR,3202
320211,CIBADAK,3202
320212,NAGRAK,3202
320213,PARUNG KUDA,3202
320214,BOJONG GENTENG,3202
320215,PARAKAN SALAK,3202
320216,CICURUG,3202
320217,CIDAHU,3202
320218,KALAPA NUNGGAL,3202
320219,KABANDUNGAN,3202
320220,WALURAN,3202
320221,JAMPANG KULON,3202
320222,CIEMAS,3202
320223,KALI BUNDER,3202
320224,SURADE,3202
320225,CIBITUNG,3202
320226,CIRACAP,3202
320227,GUNUNGGURUH,3202
320228,CICANTAYAN,3202
320229,CISAAT,3202
320230,KADUDAMPIT,3202
320231,CARINGIN,3202
320232,SUKABUMI,3202
320233,SUKARAJA,3202
320234,KEBONPEDES,3202
320235,CIREUNGHAS,3202
320236,SUKALARANG,3202
320237,PABUARAN,3202
320238,PURABAYA,3202
320239,NYALINDUNG,3202
320240,GEGER BITUNG,3202
320241,SAGARANTEN,3202
320242,CURUGKEMBAR,3202
320243,CIDOLOG,3202
320244,CIDADAP,3202
320245,TEGAL BULEUD,3202
320246,CIMANGGU,3202
320247,CIAMBAR,3202
320301,CIANJUR,3203
320302,WARUNGKONDANG,3203
320303,CIBEBER,3203
320304,CILAKU,3203
320305,CIRANJANG,3203
320306,BOJONGPICUNG,3203
320307,KARANGTENGAH,3203
320308,MANDE,3203
320309,SUKALUYU,3203
320310,PACET,3203
320311,CUGENANG,3203
320312,CIKALONGKULON,3203
320313,SUKARESMI,3203
320314,SUKANAGARA,3203
320315,CAMPAKA,3203
320316,TAKOKAK,3203
320317,KADUPANDAK,3203
320318,PAGELARAN,3203
320319,TANGGEUNG,3203
320320,CIBINONG,3203
320321,SINDANGBARANG,3203
320322,AGRABINTA,3203
320323,CIDAUN,3203
320324,NARINGGUL,3203
320325,CAMPAKA MULYA,3203
320326,CIKADU,3203
320327,GEKBRONG,3203
320328,CIPANAS,3203
320329,CIJATI,3203
320330,LELES,3203
320331,HAURWANGI,3203
320332,PASIRKUDA,3203
320405,CILEUNYI,3204
320406,CIMENYAN,3204
320407,CILENGKRANG,3204
320408,BOJONGSOANG,3204
320409,MARGAHAYU,3204
320410,MARGAASIH,3204
320411,KATAPANG,3204
320412,DAYEUHKOLOT,3204
320413,BANJARAN,3204
320414,PAMEUNGPEUK,3204
320415,PANGALENGAN,3204
320416,ARJASARI,3204
320417,CIMAUNG,3204
320425,CICALENGKA,3204
320426,NAGREG,3204
320427,CIKANCUNG,3204
320428,RANCAEKEK,3204
320429,CIPARAY,3204
320430,PACET,3204
320431,KERTASARI,3204
320432,BALEENDAH,3204
320433,MAJALAYA,3204
320434,SOLOKANJERUK,3204
320435,PASEH,3204
320436,IBUN,3204
320437,SOREANG,3204
320438,PASIRJAMBU,3204
320439,CIWIDEY,3204
320440,RANCABALI,3204
320444,CANGKUANG,3204
320446,KUTAWARINGIN,3204
320501,GARUT KOTA,3205
320502,KARANGPAWITAN,3205
320503,WANARAJA,3205
320504,TAROGONG KALER,3205
320505,TAROGONG KIDUL,3205
320506,BANYURESMI,3205
320507,SAMARANG,3205
320508,PASIRWANGI,3205
320509,LELES,3205
320510,KADUNGORA,3205
320511,LEUWIGOONG,3205
320512,CIBATU,3205
320513,KERSAMANAH,3205
320514,MALANGBONG,3205
